X,Y
1979-11-27T00:00:00,245.4893237
1979-11-28T00:00:00,247.8046566
1979-11-29T00:00:00,245.5344359
1979-11-30T00:00:00,242.4814793
1979-12-01T00:00:00,243.4147562
1979-12-02T00:00:00,247.45909
1979-12-03T00:00:00,247.7063494
1979-12-04T00:00:00,251.531179
1979-12-06T00:00:00,247.1170186
1979-12-07T00:00:00,247.0570834
1979-12-08T00:00:00,249.8237334
1979-12-09T00:00:00,246.3823022
1979-12-10T00:00:00,250.927208
1979-12-12T00:00:00,245.1270395
1979-12-13T00:00:00,244.8167191
1979-12-14T00:00:00,252.1497823
1979-12-15T00:00:00,250.2042602
1979-12-16T00:00:00,243.5807437
1979-12-17T00:00:00,245.3084378
1979-12-18T00:00:00,249.8160518
1979-12-19T00:00:00,255.683972
1979-12-20T00:00:00,254.6928054
1979-12-21T00:00:00,249.2047805
1979-12-23T00:00:00,250.725736
1979-12-24T00:00:00,252.4347465
1979-12-25T00:00:00,253.6119743
1979-12-26T00:00:00,248.1749043
1979-12-27T00:00:00,249.2296999
1979-12-28T00:00:00,247.6918085
1979-12-29T00:00:00,248.835502
1979-12-30T00:00:00,252.4484732
1979-12-31T00:00:00,256.3664903
1980-01-01T00:00:00,256.8752085
1980-01-02T00:00:00,249.949776
1980-01-04T00:00:00,243.739272
1980-01-05T00:00:00,244.5874482
1980-01-06T00:00:00,247.2930191
1980-01-07T00:00:00,245.8215926
1980-01-08T00:00:00,244.4458041
1980-01-09T00:00:00,244.3712367
1980-01-10T00:00:00,245.1115851
1980-01-11T00:00:00,244.5001231
1980-01-12T00:00:00,245.3645322
1980-01-13T00:00:00,243.0056797
1980-01-14T00:00:00,242.3722058
1980-01-15T00:00:00,243.0515506
1980-01-16T00:00:00,246.8059554
1980-01-17T00:00:00,249.7171488
1980-01-18T00:00:00,250.2021194
1980-01-19T00:00:00,250.9867936
1980-01-20T00:00:00,251.1392133
1980-01-21T00:00:00,252.0887589
1980-01-22T00:00:00,257.1901403
1980-01-23T00:00:00,252.7644178
1980-01-24T00:00:00,253.1667938
1980-01-25T00:00:00,244.9717165
1980-01-26T00:00:00,247.9242529
1980-01-27T00:00:00,249.6788682
1980-01-29T00:00:00,253.4106573
1980-01-30T00:00:00,252.1520781
1980-01-31T00:00:00,247.113285
1980-02-01T00:00:00,242.4126988
1980-02-02T00:00:00,251.1013059
1980-02-04T00:00:00,252.3484105
1980-02-05T00:00:00,257.3430604
1980-02-07T00:00:00,249.3746008
1980-02-08T00:00:00,247.2846981
1980-02-09T00:00:00,244.4407917
1980-02-10T00:00:00,252.8360421
1980-02-11T00:00:00,253.1968607
1980-02-12T00:00:00,252.4703303
1980-02-13T00:00:00,255.8130452
1980-02-14T00:00:00,251.8243808
1980-02-15T00:00:00,248.6935084
1980-02-16T00:00:00,254.5837424
1980-02-17T00:00:00,258.7190315
1980-02-18T00:00:00,248.064197
1980-02-19T00:00:00,256.5191165
1980-02-20T00:00:00,255.7043913
1980-02-21T00:00:00,253.1746382
1980-02-22T00:00:00,254.8752085
1980-02-23T00:00:00,252.6591718
1980-02-24T00:00:00,250.4636258
1980-02-25T00:00:00,253.6086618
1980-02-26T00:00:00,251.9420944
1980-02-27T00:00:00,249.161261
1980-02-29T00:00:00,252.1975557
1980-03-01T00:00:00,253.1722511
1980-03-02T00:00:00,255.5762078
1980-03-03T00:00:00,256.9331776
1980-03-04T00:00:00,252.7049036
1980-03-05T00:00:00,252.9473333
1980-03-06T00:00:00,253.1451194
1980-03-07T00:00:00,257.6335812
1980-03-09T00:00:00,252.2012059
1980-03-10T00:00:00,259.5610552
1980-03-11T00:00:00,262.403782
1980-03-12T00:00:00,261.9839974
1980-03-14T00:00:00,257.8588683
1980-03-15T00:00:00,256.4763913
1980-03-16T00:00:00,256.2285202
1980-03-17T00:00:00,259.8461187
1980-03-19T00:00:00,267.0600265
1980-03-21T00:00:00,260.4798667
1980-03-22T00:00:00,259.0051674
1980-03-23T00:00:00,262.986877
1980-03-24T00:00:00,258.8545152
1980-03-25T00:00:00,250.5567776
1980-03-26T00:00:00,254.1141469
1980-03-27T00:00:00,259.5880519
1980-03-28T00:00:00,258.0073797
1980-03-29T00:00:00,254.5425742
1980-03-30T00:00:00,252.7563907
1980-03-31T00:00:00,253.8406614
1980-04-01T00:00:00,253.4456294
1980-04-02T00:00:00,264.5973778
1980-04-03T00:00:00,258.9169725
1980-04-04T00:00:00,260.4839259
1980-04-05T00:00:00,260.4493033
1980-04-06T00:00:00,261.0341658
1980-04-07T00:00:00,263.5140683
1980-04-08T00:00:00,263.4312712
1980-04-09T00:00:00,261.3303862
1980-04-10T00:00:00,266.0205027
1980-04-11T00:00:00,266.3910443
1980-04-13T00:00:00,268.3113928
1980-04-14T00:00:00,266.3200237
1980-04-15T00:00:00,278.8629276
1980-04-16T00:00:00,267.895457
1980-04-17T00:00:00,271.0669773
1980-04-18T00:00:00,268.8137482
1980-04-19T00:00:00,266.327598
1980-04-20T00:00:00,264.7491659
1980-04-21T00:00:00,253.2550879
1980-04-22T00:00:00,259.3087039
1980-04-23T00:00:00,261.4902657
1980-04-24T00:00:00,258.5610473
1980-04-25T00:00:00,261.6563081
1980-04-26T00:00:00,258.2370081
1980-04-27T00:00:00,259.5319575
1980-04-29T00:00:00,266.1676795
1980-04-30T00:00:00,268.3578833
1980-05-01T00:00:00,266.3355496
1980-05-02T00:00:00,261.9624502
1980-05-03T00:00:00,270.3619624
1980-05-04T00:00:00,265.6466883
1980-05-05T00:00:00,266.9487791
1980-05-06T00:00:00,271.5517651
1980-05-07T00:00:00,264.7671902
1980-05-08T00:00:00,267.5792622
1980-05-09T00:00:00,262.4186804
1980-05-10T00:00:00,268.3984319
1980-05-11T00:00:00,271.8026985
1980-05-12T00:00:00,271.0989109
1980-05-13T00:00:00,267.2541188
1980-05-14T00:00:00,268.7537296
1980-05-15T00:00:00,266.9225688
1980-05-16T00:00:00,262.0989109
1980-05-18T00:00:00,260.5232433
1980-05-19T00:00:00,250.5835438
1980-05-20T00:00:00,257.012281
1980-05-22T00:00:00,269.866677
1980-05-23T00:00:00,263.3550871
1980-05-24T00:00:00,268.7690728
1980-05-25T00:00:00,266.0043531
1980-05-26T00:00:00,265.5679424
1980-05-27T00:00:00,268.5215592
1980-05-28T00:00:00,262.9771658
1980-05-29T00:00:00,269.8472149
1980-05-30T00:00:00,264.6930715
1980-05-31T00:00:00,269.0509628
1980-06-01T00:00:00,271.6403611
1980-06-02T00:00:00,267.5311711
1980-06-03T00:00:00,269.4439016
1980-06-04T00:00:00,271.7672736
1980-06-05T00:00:00,271.8465953
1980-06-06T00:00:00,271.0473802
1980-06-07T00:00:00,270.9264215
1980-06-08T00:00:00,270.1458979
1980-06-09T00:00:00,269.8945435
1980-06-10T00:00:00,271.5620442
1980-06-11T00:00:00,269.700479
1980-06-12T00:00:00,269.3116748
1980-06-13T00:00:00,260.9590582
1980-06-14T00:00:00,263.3080009
1980-06-15T00:00:00,265.0998721
1980-06-16T00:00:00,267.0342214
1980-06-17T00:00:00,278.639666
1980-06-18T00:00:00,274.4758631
1980-06-19T00:00:00,272.6339228
1980-06-20T00:00:00,278.1760839
1980-06-21T00:00:00,269.028077
1980-06-22T00:00:00,269.4633716
1980-06-23T00:00:00,275.6095872
1980-06-24T00:00:00,279.2116756
1980-06-25T00:00:00,279.7147538
1980-06-26T00:00:00,277.9940502
1980-06-27T00:00:00,279.26777
1980-06-28T00:00:00,278.2844439
1980-06-29T00:00:00,276.8066147
1980-06-30T00:00:00,278.4214686
1980-07-02T00:00:00,275.2594411
1980-07-03T00:00:00,281.6682633
1980-07-04T00:00:00,273.9770666
1980-07-05T00:00:00,282.7598661
1980-07-06T00:00:00,274.6151121
1980-07-07T00:00:00,284.9202493
1980-07-08T00:00:00,280.6868437
1980-07-09T00:00:00,281.9728961
1980-07-10T00:00:00,285.857367
1980-07-11T00:00:00,282.4677526
1980-07-12T00:00:00,286.2133398
1980-07-13T00:00:00,278.9365537
1980-07-14T00:00:00,279.7183761
1980-07-15T00:00:00,285.5583663
1980-07-16T00:00:00,284.2467947
1980-07-17T00:00:00,285.6471013
1980-07-18T00:00:00,287.7159057
1980-07-19T00:00:00,282.9355012
